Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,BST,ScarVi,SwoSh
Nidoran♀,,Poison,,55,47,52,40,40,41,275,,t
Nidorina,,Poison,,70,62,67,55,55,56,365,,t
Nidoqueen,,Poison,Ground,90,92,87,75,85,76,505,,t
Nidoran♂,,Poison,,46,57,40,40,40,50,273,,t
Nidorino,,Poison,,61,72,57,55,55,65,365,,t
Nidoking,,Poison,Ground,81,102,77,85,75,85,505,,t
Clefairy,,Fairy,,70,45,48,60,65,35,323,t,t
Clefable,,Fairy,,95,70,73,95,90,60,483,t,t
Vulpix,,Fire,,38,41,40,50,65,65,299,t,t
Vulpix,Alolan Vulpix,Ice,,38,41,40,50,65,65,299,t,t
Ninetales,,Fire,,73,76,75,81,100,100,505,t,t
Ninetales,Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,505,t,t
Jigglypuff,,Normal,Fairy,115,45,20,45,25,20,270,t,t
Wigglytuff,,Normal,Fairy,140,70,45,85,50,45,435,t,t
Zubat,,Poison,Flying,40,45,35,30,40,55,245,,t
Golbat,,Poison,Flying,75,80,70,65,75,90,455,,t
Oddish,,Grass,Poison,45,50,55,75,65,30,320,t,t
Gloom,,Grass,Poison,60,65,70,85,75,40,395,t,t
Vileplume,,Grass,Poison,75,80,85,110,90,50,490,t,t
Paras,,Bug,Grass,35,70,55,45,55,25,285,,
Parasect,,Bug,Grass,60,95,80,60,80,30,405,,
Venonat,,Bug,Poison,60,55,50,40,55,45,305,t,
Venomoth,,Bug,Poison,70,65,60,90,75,90,450,t,
Diglett,,Ground,,10,55,25,35,45,95,265,t,t
Diglett,Alolan Diglett,Ground,Steel,10,55,30,35,45,90,265,t,t
Dugtrio,,Ground,,35,100,50,50,70,120,425,t,t
Dugtrio,Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,425,t,t
Meowth,,Normal,,40,45,35,40,40,90,290,t,t
Meowth,Alolan Meowth,Dark,,40,35,35,50,40,90,290,t,t
Meowth,Galarian Meowth,Steel,,50,65,55,40,40,40,290,t,t
Persian,,Normal,,65,70,60,65,65,115,440,t,t
Persian,Alolan Persian,Dark,,65,60,60,75,65,115,440,t,t
Psyduck,,Water,,50,52,48,65,50,55,320,t,t
Golduck,,Water,,80,82,78,95,80,85,500,t,t
Mankey,,Fighting,,40,80,35,35,45,70,305,t,
Primeape,,Fighting,,65,105,60,60,70,95,455,t,
Growlithe,,Fire,,55,70,45,70,50,60,350,t,t
Growlithe,Hisuian Growlithe,Fire,Rock,60,75,45,65,50,55,350,t,
Arcanine,,Fire,,90,110,80,100,80,95,555,t,t
Arcanine,Hisuian Arcanine,Fire,Rock,95,115,80,95,80,90,555,t,
Poliwag,,Water,,40,50,40,40,40,90,300,t,t
Poliwhirl,,Water,,65,65,65,50,50,90,385,t,t
Poliwrath,,Water,Fighting,90,95,95,70,90,70,510,t,t
Abra,,Psychic,,25,20,15,105,55,90,310,,t
Kadabra,,Psychic,,40,35,30,120,70,105,400,,t
Alakazam,,Psychic,,55,50,45,135,95,120,500,,t
Alakazam,Mega Alakazam,Psychic,,55,50,65,175,105,150,600,,
Machop,,Fighting,,70,80,50,35,35,35,305,,t
Machoke,,Fighting,,80,100,70,50,60,45,405,,t
Machamp,,Fighting,,90,130,80,65,85,55,505,,t
Bellsprout,,Grass,Poison,50,75,35,70,30,40,300,t,
Weepinbell,,Grass,Poison,65,90,50,85,45,55,390,t,
Victreebel,,Grass,Poison,80,105,65,100,70,70,490,t,
Victreebel,Mega Victreebel,Grass,Poison,80,125,85,135,95,70,590,,
Tentacool,,Water,Poison,40,40,35,50,100,70,335,t,t
Tentacruel,,Water,Poison,80,70,65,80,120,100,515,t,t
Geodude,,Rock,Ground,40,80,100,30,30,20,300,t,
Geodude,Alolan Geodude,Rock,Electric,40,80,100,30,30,20,300,t,
Graveler,,Rock,Ground,55,95,115,45,45,35,390,t,
Graveler,Alolan Graveler,Rock,Electric,55,95,115,45,45,35,390,t,
Golem,,Rock,Ground,80,120,130,55,65,45,495,t,
Golem,Alolan Golem,Rock,Electric,80,120,130,55,65,45,495,t,
Ponyta,,Fire,,50,85,55,65,65,90,410,,t
Ponyta,Galarian Ponyta,Psychic,,50,85,55,65,65,90,410,,t
Rapidash,,Fire,,65,100,70,80,80,105,500,,t
Rapidash,Galarian Rapidash,Psychic,Fairy,65,100,70,80,80,105,500,,t
Slowpoke,,Water,Psychic,90,65,65,40,40,15,315,t,t
Slowpoke,Galarian Slowpoke,Psychic,,90,65,65,40,40,15,315,t,t
Slowbro,,Water,Psychic,95,75,110,100,80,30,490,t,t
Slowbro,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590,t,t
Slowbro,Galarian Slowbro,Poison,Psychic,95,100,95,100,70,30,490,t,t
Magnemite,,Electric,Steel,25,35,70,95,55,45,325,t,t
Magneton,,Electric,Steel,50,60,95,120,70,70,465,t,t
Farfetch'd,,Normal,Flying,52,90,55,58,62,60,377,,t
Farfetch'd,Galarian Farfetch'd,Fighting,,52,95,55,58,62,55,377,,t
Doduo,,Normal,Flying,35,85,45,35,35,75,310,t,
Dodrio,,Normal,Flying,60,110,70,60,60,110,470,t,
Seel,,Water,,65,45,55,45,70,45,325,t,
Dewgong,,Water,Ice,90,70,80,70,95,70,475,t,
Grimer,,Poison,,80,80,50,40,50,25,325,t,
Grimer,Alolan Grimer,Poison,Dark,80,80,50,40,50,25,325,t,
Muk,,Poison,,105,105,75,65,100,50,500,t,
Muk,Alolan Muk,Poison,Dark,105,105,75,65,100,50,500,t,
Shellder,,Water,,30,65,100,45,25,40,305,t,t
Cloyster,,Water,Ice,50,95,180,85,45,70,525,t,t
Gastly,,Ghost,Poison,30,35,30,100,35,80,310,t,t
Haunter,,Ghost,Poison,45,50,45,115,55,95,405,t,t
Gengar,,Ghost,Poison,60,65,60,130,75,110,500,t,t
Gengar,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,600,,
Onix,,Rock,Ground,35,45,160,30,45,70,385,,t
Drowzee,,Psychic,,60,48,45,43,90,42,328,t,
Hypno,,Psychic,,85,73,70,73,115,67,483,t,
Krabby,,Water,,30,105,90,25,25,50,325,,t
Kingler,,Water,,55,130,115,50,50,75,475,,t
Voltorb,,Electric,,40,30,50,55,55,100,330,t,
Voltorb,Hisuian Voltorb,Electric,Grass,40,30,50,55,55,100,330,t,
Electrode,,Electric,,60,50,70,80,80,150,490,t,
Electrode,Hisuian Electrode,Electric,Grass,60,50,70,80,80,150,490,t,
Exeggcute,,Grass,Psychic,60,40,80,60,45,40,325,t,t
Exeggutor,,Grass,Psychic,95,95,85,125,75,55,530,t,t
Exeggutor,Alolan Exeggutor,Grass,Dragon,95,105,85,125,75,45,530,t,t
Cubone,,Ground,,50,50,95,40,50,35,320,,t
Marowak,,Ground,,60,80,110,50,80,45,425,,t
Marowak,Alolan Marowak,Fire,Ghost,60,80,110,50,80,45,425,,t
Hitmonlee,,Fighting,,50,120,53,35,110,87,455,t,t
Hitmonchan,,Fighting,,50,105,79,35,110,76,455,t,t
Lickitung,,Normal,,90,55,75,60,75,30,385,,t
Koffing,,Poison,,40,65,95,60,45,35,340,t,t
Weezing,,Poison,,65,90,120,85,70,60,490,t,t
Weezing,Galarian Weezing,Poison,Fairy,65,90,120,85,70,60,490,t,t
Rhyhorn,,Ground,Rock,80,85,95,30,30,25,345,t,t
Rhydon,,Ground,Rock,105,130,120,45,45,40,485,t,t
Chansey,,Normal,,250,5,5,35,105,50,450,t,t
Tangela,,Grass,,65,55,115,100,40,60,435,,t
Kangaskhan,,Normal,,105,95,80,40,80,90,490,,t
Kangaskhan,Mega Kangaskhan,Normal,,105,125,100,60,100,100,590,,
Horsea,,Water,,30,40,70,70,25,60,295,t,t
Seadra,,Water,,55,65,95,95,45,85,440,t,t
Goldeen,,Water,,45,67,60,35,50,63,320,,t
Seaking,,Water,,80,92,65,65,80,68,450,,t
Staryu,,Water,,30,45,55,70,55,85,340,,t
Starmie,,Water,Psychic,60,75,85,100,85,115,520,,t
Mr. Mime,,Psychic,Fairy,40,45,65,100,120,90,460,,t
Mr. Mime,Galarian Mr. Mime,Ice,Psychic,50,65,65,90,90,100,460,,t
Scyther,,Bug,Flying,70,110,80,55,80,105,500,t,t
Jynx,,Ice,Psychic,65,50,35,115,95,95,455,,t
Electabuzz,,Electric,,65,83,57,95,85,105,490,t,t
Magmar,,Fire,,65,95,57,100,85,93,495,t,t
Pinsir,,Bug,,65,125,100,55,70,85,500,t,t
Pinsir,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,600,,
Tauros,,Normal,,75,100,95,40,70,110,490,t,t
Tauros,Combat Breed,Fighting,,75,110,105,30,70,100,490,t,
Tauros,Blaze Breed,Fighting,Fire,75,110,105,30,70,100,490,t,
Tauros,Aqua Breed,Fighting,Water,75,110,105,30,70,100,490,t,
Magikarp,,Water,,20,10,55,15,20,80,200,t,t
Gyarados,,Water,Flying,95,125,79,60,100,81,540,t,t
Gyarados,Mega Gyarados,Water,Dark,95,155,109,70,130,81,640,,
Lapras,,Water,Ice,130,85,80,85,95,60,535,,
Ditto,,Normal,,48,48,48,48,48,48,288,t,t
Eevee,,Normal,,55,55,50,45,65,55,325,t,t
Eevee,Partner Eevee,Normal,,65,75,70,65,85,75,435,,
Vaporeon,,Water,,130,65,60,110,95,65,525,t,t
Jolteon,,Electric,,65,65,60,110,95,130,525,t,t
Flareon,,Fire,,65,130,60,95,110,65,525,t,t
Porygon,,Normal,,65,60,70,85,75,40,395,t,t
Omanyte,,Rock,Water,35,40,100,90,55,35,355,,t
Omastar,,Rock,Water,70,60,125,115,70,55,495,,t
Kabuto,,Rock,Water,30,80,90,55,45,55,355,,t
Kabutops,,Rock,Water,60,115,105,65,70,80,495,,t
Aerodactyl,,Rock,Flying,80,105,65,60,75,130,515,,t
Aerodactyl,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,615,,
Snorlax,,Normal,,160,110,65,65,110,30,540,t,t
Articuno,,Ice,Flying,90,85,100,95,125,85,580,t,t
Articuno,Galarian Articuno,Psychic,Flying,90,85,85,125,100,95,580,t,t
Zapdos,,Electric,Flying,90,90,85,125,90,100,580,t,t
Zapdos,Galarian Zapdos,Fighting,Flying,90,125,90,85,90,100,580,t,t
Moltres,,Fire,Flying,90,100,90,125,85,90,580,t,t
Moltres,Galarian Moltres,Dark,Flying,90,85,90,100,125,90,580,t,t
Dratini,,Dragon,,41,64,45,50,50,50,300,t,t
Dragonair,,Dragon,,61,84,65,70,70,70,420,t,t
Dragonite,,Dragon,Flying,91,134,95,100,100,80,600,t,t
Dragonite,Mega Dragonite,Dragon,Flying,91,124,115,145,125,100,700,,
Mewtwo,,Psychic,,106,110,90,154,90,130,680,t,t
Mewtwo,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,780,,
Mewtwo,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,780,,
Mew,,Psychic,,100,100,100,100,100,100,600,t,t
Chikorita,,Grass,,45,49,65,49,65,45,318,t,
Bayleef,,Grass,,60,62,80,63,80,60,405,t,
Meganium,,Grass,,80,82,100,83,100,80,525,t,
Cyndaquil,,Fire,,39,52,43,60,50,65,309,t,
Quilava,,Fire,,58,64,58,80,65,80,405,t,
Typhlosion,,Fire,,78,84,78,109,85,100,534,t,
Typhlosion,Hisuian Typhlosion,Fire,Ghost,73,84,78,119,85,95,534,t,
Totodile,,Water,,50,65,64,44,48,43,314,t,
Croconaw,,Water,,65,80,80,59,63,58,405,t,
Feraligatr,,Water,,85,105,100,79,83,78,530,t,
Sentret,,Normal,,35,46,34,35,45,20,215,t,
Furret,,Normal,,85,76,64,45,55,90,415,t,
Hoothoot,,Normal,Flying,60,30,30,36,56,50,262,t,t
Noctowl,,Normal,Flying,100,50,50,86,96,70,452,t,t
Ledyba,,Bug,Flying,40,20,30,40,80,55,265,,
Ledian,,Bug,Flying,55,35,50,55,110,85,390,,
Spinarak,,Bug,Poison,40,60,40,40,40,30,250,t,
Ariados,,Bug,Poison,70,90,70,60,70,40,400,t,
Crobat,,Poison,Flying,85,90,80,70,80,130,535,,t
Chinchou,,Water,Electric,75,38,38,56,56,67,330,t,t
Lanturn,,Water,Electric,125,58,58,76,76,67,460,t,t
Pichu,,Electric,,20,40,15,35,35,60,205,t,t
Cleffa,,Fairy,,50,25,28,45,55,15,218,t,t
Igglybuff,,Normal,Fairy,90,30,15,40,20,15,210,t,t
Togepi,,Fairy,,35,20,65,40,65,20,245,,t
Togetic,,Fairy,Flying,55,40,85,80,105,40,405,,t
Natu,,Psychic,Flying,40,50,45,70,45,70,320,,t
Xatu,,Psychic,Flying,65,75,70,95,70,95,470,,t
Mareep,,Electric,,55,40,40,65,45,35,280,t,
Flaaffy,,Electric,,70,55,55,80,60,45,365,t,
Ampharos,,Electric,,90,75,85,115,90,55,510,t,
Ampharos,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,610,,
Bellossom,,Grass,,75,80,95,90,100,50,490,t,t
Marill,,Water,Fairy,70,20,50,20,50,40,250,t,t
Azumarill,,Water,Fairy,100,50,80,60,80,50,420,t,t
Sudowoodo,,Rock,,70,100,115,30,65,30,410,t,t
Politoed,,Water,,90,75,75,90,100,70,500,t,t
Hoppip,,Grass,Flying,35,35,40,35,55,50,250,t,
Skiploom,,Grass,Flying,55,45,50,45,65,80,340,t,
Jumpluff,,Grass,Flying,75,55,70,55,95,110,460,t,
Aipom,,Normal,,55,70,55,40,55,85,360,t,
Sunkern,,Grass,,30,30,30,30,30,30,180,t,
Sunflora,,Grass,,75,75,55,105,85,30,425,t,
Yanma,,Bug,Flying,65,65,45,75,45,95,390,t,
Wooper,,Water,Ground,55,45,45,25,25,15,210,t,t
Wooper,Paldean Wooper,Poison,Ground,55,45,45,25,25,15,210,t,
Quagsire,,Water,Ground,95,85,85,65,65,35,430,t,t
Espeon,,Psychic,,65,65,60,130,95,110,525,t,t
Umbreon,,Dark,,95,65,110,60,130,65,525,t,t
Murkrow,,Dark,Flying,60,85,42,85,42,91,405,t,
Slowking,,Water,Psychic,95,75,80,100,110,30,490,t,t
Slowking,Galarian Slowking,Poison,Psychic,95,65,80,110,110,30,490,t,t
Misdreavus,,Ghost,,60,60,60,85,85,85,435,t,
Unown,,Psychic,,48,72,48,72,48,48,336,,
Wobbuffet,,Psychic,,190,33,58,33,58,33,405,,t
Girafarig,,Normal,Psychic,70,80,65,90,65,85,455,t,
Pineco,,Bug,,50,65,90,35,35,15,290,t,
Forretress,,Bug,Steel,75,90,140,60,60,40,465,t,
Dunsparce,,Normal,,100,70,70,65,65,45,415,t,
Gligar,,Ground,Flying,65,75,105,35,65,85,430,t,t
Steelix,,Steel,Ground,75,85,200,55,65,30,510,,
Steelix,Mega Steelix,Steel,Ground,75,125,230,55,95,30,610,,
Snubbull,,Fairy,,60,80,50,40,40,30,300,t,
Granbull,,Fairy,,90,120,75,60,60,45,450,t,
Qwilfish,,Water,Poison,65,95,85,55,55,85,440,t,t
Qwilfish,Hisuian Qwilfish,Dark,Poison,65,95,85,55,55,85,440,t,
Scizor,,Bug,Steel,70,130,100,55,80,65,500,t,t
Scizor,Mega Scizor,Bug,Steel,70,150,140,65,100,75,600,,
Shuckle,,Bug,Rock,20,10,230,10,230,5,505,,t
Heracross,,Bug,Fighting,80,125,75,40,95,85,500,t,t
Heracross,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,600,,
Sneasel,,Dark,Ice,55,95,55,35,75,115,430,t,t
Sneasel,Hisuian Sneasel,Fighting,Poison,55,95,55,35,75,115,430,t,
Teddiursa,,Normal,,60,80,50,50,50,40,330,t,
Ursaring,,Normal,,90,130,75,75,75,55,500,t,
Slugma,,Fire,,40,40,40,70,40,20,250,t,
Magcargo,,Fire,Rock,60,50,120,90,80,30,430,t,
Swinub,,Ice,Ground,50,50,40,30,30,50,250,t,t
Piloswine,,Ice,Ground,100,100,80,60,60,50,450,t,t
Corsola,,Water,Rock,65,55,95,65,95,35,410,,t
Corsola,Galarian Corsola,Ghost,,60,55,100,65,100,30,410,,t
Remoraid,,Water,,35,65,35,65,35,65,300,,t
Octillery,,Water,,75,105,75,105,75,45,480,,t
Delibird,,Ice,Flying,45,55,45,65,45,75,330,t,t
Mantine,,Water,Flying,85,40,70,80,140,70,485,,t
Skarmory,,Steel,Flying,65,80,140,40,70,70,465,t,t
Houndour,,Dark,Fire,45,60,30,80,50,65,330,t,
Houndoom,,Dark,Fire,75,90,50,110,80,95,500,t,
Houndoom,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,600,,
Kingdra,,Water,Dragon,75,95,95,95,95,85,540,t,t
Phanpy,,Ground,,90,60,60,40,40,40,330,t,
Donphan,,Ground,,90,120,120,60,60,50,500,t,
Porygon2,,Normal,,85,80,90,105,95,60,515,t,t
Stantler,,Normal,,73,95,62,85,65,85,465,t,
Smeargle,,Normal,,55,20,35,20,45,75,250,t,
Tyrogue,,Fighting,,35,35,35,35,35,35,210,t,t
Hitmontop,,Fighting,,50,95,95,35,110,70,455,t,t
Smoochum,,Ice,Psychic,45,30,15,85,65,65,305,,t
Elekid,,Electric,,45,63,37,65,55,95,360,t,t
Magby,,Fire,,45,75,37,70,55,83,365,t,t
Miltank,,Normal,,95,80,105,40,70,100,490,,t
Blissey,,Normal,,255,10,10,75,135,55,540,t,t
Raikou,,Electric,,90,85,75,115,100,115,580,t,t
Entei,,Fire,,115,115,85,90,75,100,580,t,t
Suicune,,Water,,100,75,115,90,115,85,580,t,t
Larvitar,,Rock,Ground,50,64,50,45,50,41,300,t,t
Pupitar,,Rock,Ground,70,84,70,65,70,51,410,t,t
Tyranitar,,Rock,Dark,100,134,110,95,100,61,600,t,t
Tyranitar,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,700,,
Lugia,,Psychic,Flying,106,90,130,90,154,110,680,t,t
Ho-oh,,Fire,Flying,106,130,90,110,154,90,680,t,t
Celebi,,Psychic,Grass,100,100,100,100,100,100,600,t,t
Treecko,,Grass,,40,45,35,65,55,70,310,t,t
Grovyle,,Grass,,50,65,45,85,65,95,405,t,t
Sceptile,,Grass,,70,85,65,105,85,120,530,t,t
Sceptile,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,630,,
Torchic,,Fire,,45,60,40,70,50,45,310,t,t
Combusken,,Fire,Fighting,60,85,60,85,60,55,405,t,t
Blaziken,,Fire,Fighting,80,120,70,110,70,80,530,t,t
Blaziken,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,630,,
Mudkip,,Water,,50,70,50,50,50,40,310,t,t
Marshtomp,,Water,Ground,70,85,70,60,70,50,405,t,t
Swampert,,Water,Ground,100,110,90,85,90,60,535,t,t
Swampert,Mega Swampert,Water,Ground,100,150,110,95,110,70,635,,
Poochyena,,Dark,,35,55,35,30,30,35,220,t,
Mightyena,,Dark,,70,90,70,60,60,70,420,t,
Zigzagoon,,Normal,,38,30,41,30,41,60,240,,t
Zigzagoon,Galarian Zigzagoon,Dark,Normal,38,30,41,30,41,60,240,,t
Linoone,,Normal,,78,70,61,50,61,100,420,,t
Linoone,Galarian Linoone,Dark,Normal,78,70,61,50,61,100,420,,t
Wurmple,,Bug,,45,45,35,20,30,20,195,,
Silcoon,,Bug,,50,35,55,25,25,15,205,,
Beautifly,,Bug,Flying,60,70,50,100,50,65,395,,
Cascoon,,Bug,,50,35,55,25,25,15,205,,
Dustox,,Bug,Poison,60,50,70,50,90,65,385,,
Lotad,,Water,Grass,40,30,30,40,50,30,220,t,t
Lombre,,Water,Grass,60,50,50,60,70,50,340,t,t
Ludicolo,,Water,Grass,80,70,70,90,100,70,480,t,t
Seedot,,Grass,,40,40,50,30,30,30,220,t,t
Nuzleaf,,Grass,Dark,70,70,40,60,40,60,340,t,t
Shiftry,,Grass,Dark,90,100,60,90,60,80,480,,
Taillow,,Normal,Flying,40,55,30,30,30,85,270,,
Swellow,,Normal,Flying,60,85,60,75,50,125,455,,
Wingull,,Water,Flying,40,30,30,55,30,85,270,t,t
Pelipper,,Water,Flying,60,50,100,95,70,65,440,t,t
Ralts,,Psychic,Fairy,28,25,25,45,35,40,198,t,t
Kirlia,,Psychic,Fairy,38,35,35,65,55,50,278,t,t
Gardevoir,,Psychic,Fairy,68,65,65,125,115,80,518,t,t
Gardevoir,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,618,,
Surskit,,Bug,Water,40,30,32,50,52,65,269,t,
Masquerain,,Bug,Flying,70,60,62,100,82,80,454,t,
Shroomish,,Grass,,60,40,60,40,60,35,295,t,
Breloom,,Grass,Fighting,60,130,80,60,60,70,460,t,
Slakoth,,Normal,,60,60,60,35,35,30,280,t,
Vigoroth,,Normal,,80,80,80,55,55,90,440,t,
Slaking,,Normal,,150,160,100,95,65,100,670,t,
Nincada,,Bug,Ground,31,45,90,30,30,40,266,,t
Ninjask,,Bug,Flying,61,90,45,50,50,160,456,,t
Shedinja,,Bug,Ghost,1,90,45,30,30,40,236,,t
Whismur,,Normal,,64,51,23,51,23,28,240,,t
Loudred,,Normal,,84,71,43,71,43,48,360,,t
Exploud,,Normal,,104,91,63,91,73,68,490,,t
Makuhita,,Fighting,,72,60,30,20,30,25,237,t,
Hariyama,,Fighting,,144,120,60,40,60,50,474,t,
Azurill,,Normal,Fairy,50,20,40,20,40,20,190,t,t
Nosepass,,Rock,,30,45,135,45,90,30,375,t,
Skitty,,Normal,,50,45,45,35,35,50,260,,
Delcatty,,Normal,,70,65,65,55,55,90,400,,
Sableye,,Dark,Ghost,50,75,75,65,65,50,380,t,t
Sableye,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,480,,
Mawile,,Steel,Fairy,50,85,85,55,55,50,380,,t
Mawile,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,480,,
Aron,,Steel,Rock,50,70,100,40,40,30,330,t,
Lairon,,Steel,Rock,60,90,140,50,50,40,430,t,
Aggron,,Steel,Rock,70,110,180,60,60,50,530,t,
Aggron,Mega Aggron,Steel,,70,140,230,60,80,50,630,,
Meditite,,Fighting,Psychic,30,40,55,40,55,60,280,t,
Medicham,,Fighting,Psychic,60,60,75,60,75,80,410,t,
Medicham,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,510,,
Electrike,,Electric,,40,45,40,65,40,65,295,,t
Manectric,,Electric,,70,75,60,105,60,105,475,,t
Manectric,Mega Manectric,Electric,,70,75,80,135,80,135,575,,
Plusle,,Electric,,60,50,40,85,75,95,405,,t
Minun,,Electric,,60,40,50,75,85,95,405,,t
Volbeat,,Bug,,65,73,75,47,85,85,430,,t
Illumise,,Bug,,65,47,75,73,85,85,430,,t
Roselia,,Grass,Poison,50,60,45,100,80,65,400,t,
Gulpin,,Poison,,70,43,53,43,53,40,302,,t
Swalot,,Poison,,100,73,83,73,83,55,467,,t
Carvanha,,Water,Dark,45,90,20,65,20,65,305,t,
Sharpedo,,Water,Dark,70,120,40,95,40,95,460,t,
Sharpedo,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,560,,
Wailmer,,Water,,130,70,35,70,35,60,400,t,
Wailord,,Water,,170,90,45,90,45,60,500,t,
Numel,,Fire,Ground,60,60,40,65,45,35,305,t,
Camerupt,,Fire,Ground,70,100,70,105,75,40,460,t,
Camerupt,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,560,,
Torkoal,,Fire,,70,85,140,85,70,20,470,t,t
Spoink,,Psychic,,60,25,35,70,80,60,330,t,
Grumpig,,Psychic,,80,45,65,90,110,80,470,t,
Spinda,,Normal,,60,60,60,60,60,60,360,,
Trapinch,,Ground,,45,100,45,45,45,10,290,t,t
Vibrava,,Ground,Dragon,50,70,50,50,50,70,340,t,t
Flygon,,Ground,Dragon,80,100,80,80,80,100,520,t,t
Cacnea,,Grass,,50,85,40,85,40,35,335,t,
Cacturne,,Grass,Dark,70,115,60,115,60,55,475,t,
Swablu,,Normal,Flying,45,40,60,40,75,50,310,t,t
Altaria,,Dragon,Flying,75,70,90,70,105,80,490,t,t
Altaria,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,590,,
Zangoose,,Normal,,73,115,60,60,60,90,458,t,t
Seviper,,Poison,,73,100,60,100,60,65,458,t,t
Lunatone,,Rock,Psychic,90,55,65,95,85,70,460,,t
Solrock,,Rock,Psychic,90,95,85,55,65,70,460,,t
Barboach,,Water,Ground,50,48,43,46,41,60,288,t,t
Whiscash,,Water,Ground,110,78,73,76,71,60,468,t,t
Corphish,,Water,,43,80,65,50,35,35,308,t,t
Crawdaunt,,Water,Dark,63,120,85,90,55,55,468,t,t
Baltoy,,Ground,Psychic,40,40,55,40,70,55,300,,t
Claydol,,Ground,Psychic,60,70,105,70,120,75,500,,t
Lileep,,Rock,Grass,66,41,77,61,87,23,355,,t
Cradily,,Rock,Grass,86,81,97,81,107,43,495,,t
Anorith,,Rock,Bug,45,95,50,40,50,75,355,,t
Armaldo,,Rock,Bug,75,125,100,70,80,45,495,,t
